------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
IEA 15 MW Offshore Reference Turbine
======  Blade Properties =================================================================
18          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC          BlSwpAC         BlCrvAng        BlTwist         BlChord     BlAFID
     (m)           (m)              (m)            (deg)           (deg)            (m)        (-)
0.00000000E+00	-6.75125501E-03	-2.41891564E-02	9.29128153E-01	1.55945530E+01	5.52500000E+00	1
2.53698831E+00	3.43876207E-02	5.31860780E-02	8.70728600E-01	1.55877386E+01	5.53439244E+00	2
1.01479532E+01	1.02439700E-01	-3.01140999E-02	2.30926425E-01	1.42584548E+01	5.70279860E+00	3
2.02959065E+01	1.69616970E-01	-3.68683093E-01	5.16367665E-01	1.03709761E+01	6.04831437E+00	4
2.53698831E+01	1.97912058E-01  -4.42294734E-01	1.57344476E-01	8.55152220E+00	6.12513913E+00	5
3.04438597E+01	2.08790255E-01	-4.45493353E-01	1.57664290E-01	7.19135497E+00	6.05954217E+00	6
3.55178364E+01	2.21238277E-01	-3.74059754E-01	8.72157997E-02	5.93399570E+00	5.81353157E+00	7
4.05918130E+01	2.24793186E-01	-3.21880478E-01	3.93087017E-03	4.79633395E+00	5.48938743E+00	8
4.82027779E+01	2.08408487E-01	-2.62324894E-01	-4.02573865E-01	3.44534206E+00	5.06595715E+00	9
5.58137428E+01	9.59183286E-02	-2.06698353E-01	-1.24074749E+00	2.41223467E+00	4.70493655E+00	10
5.83507312E+01	3.66107730E-02	-1.91858860E-01	-1.41589708E+00	2.11169077E+00	4.58676881E+00	11
6.59616961E+01	-1.72524379E-01	-1.61518196E-01	-1.80374052E+00	1.30243687E+00	4.24863186E+00	12
7.10356727E+01	-3.59940180E-01	-1.53304275E-01	-2.46077025E+00	8.43446166E-01	4.04087083E+00	13
7.86466376E+01	-7.41760076E-01	-1.53999196E-01	-3.15788013E+00	2.39656793E-01	3.74598710E+00	14
8.87945909E+01	-1.33157754E+00	-1.69551985E-01	-3.59587236E+00	-6.80377614E-01	3.35336653E+00	15
9.64055558E+01	-1.84727277E+00	-1.83211871E-01	-4.13401256E+00	-1.62329876E+00	3.06074918E+00	16
1.14164474E+02	-3.27591324E+00	-2.07218000E-01	-5.17487701E+00	-2.01840342E+00	2.30080840E+00	17
1.24312427E+02	-4.24863871E+00	-6.27693314E-02	-5.76542738E+00	-1.24238771E+00	5.31250000E-01	18
