------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
IEA 15 MW Offshore Reference Turbine
======  Blade Properties =================================================================
18          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	1.55945530197117E+01	5.52500000000000E+00	1					
2.00000000000000E-02	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	1.55910502625891E+01	5.53379755424405E+00	2					
8.00000000000000E-02	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	1.43263482248734E+01	5.69562469727014E+00	3					
1.50000000000000E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	1.10323481600837E+01	6.00327834218528E+00	4					
2.07102190053397E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	8.42919140018310E+00	6.12768956503994E+00	5					
2.45170316755661E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	7.18285751579928E+00	6.05874061301769E+00	6					
2.87007133701452E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	5.89492481804604E+00	5.80448001969306E+00	7					
3.28843950647243E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	4.73441484530651E+00	5.47048703812681E+00	8					
3.95045188126447E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	3.30696491485122E+00	5.02308325989607E+00	9					
4.39179346445916E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	2.56099687056017E+00	4.76218523315909E+00	10					
4.78576170710924E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	1.98029436135127E+00	4.53401010433439E+00	11					
5.37671407108435E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	1.21557781044939E+00	4.21125001451666E+00	12					
5.77885907031611E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	7.75107871107793E-01	4.00881607096073E+00	13					
6.38207656916374E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	1.86025579472515E-01	3.71958721636385E+00	14					
7.14514054262207E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	-6.83468685439567E-01	3.35226691517762E+00	15					
7.71743852271582E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	-1.57511808381842E+00	3.07912941125841E+00	16					
9.12500000000000E-01	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	-2.04889634563165E+00	2.33502955156500E+00	17					
1.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	0.00000000000000E+00	-1.24238770627297E+00	5.31250000000000E-01	18
